participant_id,mean_acc_norm_s2,std_acc_norm_s2,max_acc_norm_s2,min_acc_norm_s2,n_acc_steps
4b7264c1-03ae-4401-ae7b-3d5418e244fa,0.17986652953565485,70.2795881274164,1278.7526801941215,-1009.6563937428557,1157
4b735901-9e3e-43de-8dd8-54e74dcf0910,-0.13303729291214025,212.4618859556979,2766.4214075718933,-4318.098690574496,1050
4b8b5d28-8ca9-4b2d-be09-796cd60ff22f,0.7180002983714181,233.00535828509115,1551.3490992609554,-1128.492719506076,74
50af3813-4730-4b8e-b200-16ba76811d68,0.19491540783992994,121.34366650219002,1380.68386565715,-1263.5583045373746,402
50cb55ec-c55f-4275-b3f8-a119e6ae6ef1,-0.020442665641071396,119.85207920462219,3696.541381440904,-3696.541381440904,3275
51381787-c3a4-4a69-a44d-0750124ee2ad,0.49139041315027965,83.7300229023135,2006.0989783387795,-2214.4880858891365,7807
51c72b18-d63d-4293-a20a-58955ea921f9,0.09208060292919247,84.22327488285572,1256.5365762231636,-1187.525786252012,473
51eeb71d-7fb3-47dc-ae2a-00e20701fa68,0.0013031911232683452,122.26723538220756,3385.7749121982715,-3470.4192850032287,2641
5dea9317-cab2-4546-bc93-eb063052932c,-4.768673314001694,290.4889015574356,3185.049177528115,-9555.147532584346,1526
5e38168c-c307-4cd5-a939-b94dca4a69e1,0.15797327965543365,71.03442604161617,1547.228652263375,-1206.6504983256025,1883
65b68a45-2b10-49f3-8a4a-8315ef68f969,0.17541156063171892,95.84604572906537,1914.1238992277151,-1483.64981370769,848
676840dc-d964-41e5-ad5b-dba3ca8f0208,-3.899537256146344,222.01291494907412,2461.3364989815345,-3811.101675842376,456
68ec06a0-df0b-4061-bbee-6731a0867c41,0.8683603751841372,73.29552515245562,1235.4218099754723,-1295.422386315577,1198
6b42fb53-9d79-42ea-b1a9-1432d91cc505,0.44062226280731903,90.8041036844292,1780.3757618912043,-1326.081204898489,1848
6c31c25e-c5dd-41fb-b6c9-87bea11b8a8f,0.9698541582558626,99.48021365151193,1995.4485123942793,-1659.084293192399,1190
6fde05fb-ad92-4919-a93f-50f610305a99,-0.006916221479364885,47.96665996870074,477.53404790191956,-385.8942635130968,521
