"id","session_id","participant_id","task","prod_id","reason","t_enter_ms","t_leave_ms","duration_ms","ts_enter_utc","ts_leave_utc","page_w","page_h"
64,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_patagonia_black_hole_micro_22l","leave",87411,105762,18351,2025-11-29 11:47:26.846,2025-11-29 11:47:45.198,1280,715
65,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",106727,109062,2335,2025-11-29 11:47:46.162,2025-11-29 11:47:48.497,1280,715
66,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",109068,109212,144,2025-11-29 11:47:48.504,2025-11-29 11:47:48.648,1280,715
67,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",109247,111047,1800,2025-11-29 11:47:48.683,2025-11-29 11:47:50.483,1280,715
68,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",111062,111113,51,2025-11-29 11:47:50.497,2025-11-29 11:47:50.549,1280,715
69,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_aevor_trip_pack","leave",111120,111134,14,2025-11-29 11:47:50.555,2025-11-29 11:47:50.57,1280,715
70,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_patagonia_black_hole_micro_22l","leave",111139,112050,911,2025-11-29 11:47:50.575,2025-11-29 11:47:51.485,1280,715
71,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_aevor_trip_pack","leave",112063,112081,18,2025-11-29 11:47:51.498,2025-11-29 11:47:51.517,1280,715
72,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",112089,112131,42,2025-11-29 11:47:51.524,2025-11-29 11:47:51.566,1280,715
73,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",112148,118990,6842,2025-11-29 11:47:51.584,2025-11-29 11:47:58.426,1280,715
74,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",118998,119878,880,2025-11-29 11:47:58.434,2025-11-29 11:47:59.313,1280,715
75,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",119891,119928,37,2025-11-29 11:47:59.327,2025-11-29 11:47:59.364,1280,715
76,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_patagonia_black_hole_micro_22l","leave",119934,120793,859,2025-11-29 11:47:59.37,2025-11-29 11:48:00.229,1280,715
77,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_aevor_trip_pack","leave",120800,120977,177,2025-11-29 11:48:00.236,2025-11-29 11:48:00.413,1280,715
78,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_pinqponq_purik_cliff","leave",120983,124650,3667,2025-11-29 11:48:00.419,2025-11-29 11:48:04.085,1280,715
79,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",125350,125417,67,2025-11-29 11:48:04.785,2025-11-29 11:48:04.853,1280,715
80,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_pinqponq_purik_cliff","leave",125450,136595,11145,2025-11-29 11:48:04.886,2025-11-29 11:48:16.031,1280,715
81,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",136602,139395,2793,2025-11-29 11:48:16.038,2025-11-29 11:48:18.83,1280,715
82,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",139402,139978,576,2025-11-29 11:48:18.837,2025-11-29 11:48:19.414,1280,715
83,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",139995,145181,5186,2025-11-29 11:48:19.43,2025-11-29 11:48:24.617,1280,715
84,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_patagonia_black_hole_micro_22l","leave",145190,145369,179,2025-11-29 11:48:24.625,2025-11-29 11:48:24.804,1280,715
85,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_aevor_trip_pack","leave",145392,145520,128,2025-11-29 11:48:24.827,2025-11-29 11:48:24.956,1280,715
86,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_pinqponq_purik_cliff","leave",145535,147678,2143,2025-11-29 11:48:24.971,2025-11-29 11:48:27.114,1280,715
87,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",147686,148069,383,2025-11-29 11:48:27.121,2025-11-29 11:48:27.505,1280,715
88,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_pinqponq_purik_cliff","leave",148086,148437,351,2025-11-29 11:48:27.522,2025-11-29 11:48:27.872,1280,715
89,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",148445,148871,426,2025-11-29 11:48:27.88,2025-11-29 11:48:28.306,1280,715
90,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",148887,149154,267,2025-11-29 11:48:28.323,2025-11-29 11:48:28.589,1280,715
91,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_aevor_trip_pack","leave",149170,149872,702,2025-11-29 11:48:28.606,2025-11-29 11:48:29.308,1280,715
92,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_patagonia_black_hole_micro_22l","leave",149880,156127,6247,2025-11-29 11:48:29.316,2025-11-29 11:48:35.563,1280,715
93,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",156136,156161,25,2025-11-29 11:48:35.571,2025-11-29 11:48:35.596,1280,715
94,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",156168,156261,93,2025-11-29 11:48:35.604,2025-11-29 11:48:35.697,1280,715
95,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",156268,156644,376,2025-11-29 11:48:35.704,2025-11-29 11:48:36.08,1280,715
96,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",156652,156730,78,2025-11-29 11:48:36.087,2025-11-29 11:48:36.165,1280,715
97,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",157310,157844,534,2025-11-29 11:48:36.746,2025-11-29 11:48:37.28,1280,715
98,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",157852,163697,5845,2025-11-29 11:48:37.287,2025-11-29 11:48:43.132,1280,715
99,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",163715,172925,9210,2025-11-29 11:48:43.151,2025-11-29 11:48:52.36,1280,715
100,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",172936,172994,58,2025-11-29 11:48:52.371,2025-11-29 11:48:52.43,1280,715
101,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",173004,173009,5,2025-11-29 11:48:52.439,2025-11-29 11:48:52.445,1280,715
102,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_pinqponq_purik_cliff","leave",173021,174042,1021,2025-11-29 11:48:52.457,2025-11-29 11:48:53.478,1280,715
103,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",174052,174094,42,2025-11-29 11:48:53.488,2025-11-29 11:48:53.53,1280,715
104,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",174105,175959,1854,2025-11-29 11:48:53.541,2025-11-29 11:48:55.394,1280,715
105,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_patagonia_black_hole_micro_22l","leave",175968,191108,15140,2025-11-29 11:48:55.403,2025-11-29 11:49:10.544,1280,715
106,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_aevor_trip_pack","leave",191126,192059,933,2025-11-29 11:49:10.561,2025-11-29 11:49:11.495,1280,715
107,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",192073,195577,3504,2025-11-29 11:49:11.508,2025-11-29 11:49:15.013,1280,715
108,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_kapten_helsinki_pro","leave",195594,195997,403,2025-11-29 11:49:15.029,2025-11-29 11:49:15.432,1280,715
